PORÓWNANIE ALGORYTMÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;19,6538550177854;
2000;16,3898215584254;
3000;17,57244660198;
4000;15,0364229446713;
5000;18,3517234880132;
6000;19,0988715232071;
7000;14,685994892421;
8000;17,0075478096194;
9000;17,3082328722837;
10000;16,9835238180496;
11000;14,7511299235956;
12000;16,4361642616098;
13000;16,5091848952853;
14000;16,7316001280989;
15000;17,2462796489227;
16000;16,8195647466855;
17000;16,4355272749466;
18000;15,5799616526059;
19000;16,7734162806077;
20000;16,3935091624821;
