PORÓWNANIE ALGORYTMÓW - dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;1,19653855017785;
2000;1,16389821558425;
3000;1,1757244660198;
4000;1,15036422944671;
5000;1,18351723488013;
6000;1,19098871523207;
7000;1,14685994892421;
8000;1,17007547809619;
9000;1,17308232872284;
10000;1,1698352381805;
11000;1,14751129923596;
12000;1,1643616426161;
13000;1,16509184895285;
14000;1,16731600128099;
15000;1,17246279648923;
16000;1,16819564746686;
17000;1,16435527274947;
18000;1,15579961652606;
19000;1,16773416280608;
20000;1,16393509162482;
