PORÓWNANIE ALGORYTMÓW - dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;1,08333345334688;
2000;1,07732938051488;
3000;1,07686716278299;
4000;1,07678992274223;
5000;1,08321847682448;
6000;1,07873089153742;
7000;1,07953593426963;
8000;1,07417890755729;
9000;1,07697636967251;
10000;1,07894328121556;
11000;1,07954537851319;
12000;1,07665020553993;
13000;1,07879776685981;
14000;1,08427400648392;
15000;1,07888544707831;
16000;1,08072398002539;
17000;1,08118481178783;
18000;1,0794446120751;
19000;1,07948497538841;
20000;1,07609083565888;
