PORÓWNANIE ALGORYTMÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;8,33334533468807;
2000;7,73293805148801;
3000;7,68671627829942;
4000;7,67899227422281;
5000;8,32184768244791;
6000;7,87308915374231;
7000;7,95359342696314;
8000;7,41789075572933;
9000;7,69763696725071;
10000;7,89432812155563;
11000;7,95453785131878;
12000;7,66502055399334;
13000;7,87977668598119;
14000;8,42740064839169;
15000;7,88854470783126;
16000;8,07239800253894;
17000;8,11848117878286;
18000;7,9444612075104;
19000;7,94849753884125;
20000;7,60908356588781;
