PORÓWNANIE ALGORYTMÓW - dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;1,09000661483546;
2000;1,09208267691757;
3000;1,10071505697362;
4000;1,09826830591934;
5000;1,1036014620853;
6000;1,08435387102264;
7000;1,07643747828062;
8000;1,08119093401284;
9000;1,07768419135882;
10000;1,08246799700278;
11000;1,07924538137525;
12000;1,07371652161107;
13000;1,08089068564824;
14000;1,09516349228179;
15000;1,08254270009654;
16000;1,08306121288285;
17000;1,08218364792575;
18000;1,08247158998941;
19000;1,08374676164555;
20000;1,08492491086345;
