PORÓWNANIE ALGORYTMÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;12,5645581245206;
2000;14,4507253759503;
3000;15,0323496633177;
4000;14,2209959210014;
5000;15,4727966219851;
6000;14,5254000166747;
7000;13,650430014707;
8000;13,9490080495403;
9000;12,7880590989427;
10000;13,0243160117038;
11000;15,0534950603446;
12000;15,1383695903666;
13000;13,6686672602733;
14000;13,9177244415458;
15000;12,5882472436124;
16000;14,3517127533662;
17000;15,1766339158538;
18000;14,2419557030175;
19000;12,9895920104275;
20000;14,26538401905;
